frontend_file,frontend_line,frontend_call,api_source,api_path_used,backend_files,status
frontend\app\band\register\page.jsx,52,bandApi.post,bandApi,/band/auth/register,,missing
frontend\app\band\register\page.jsx,61,bandApi.post,bandApi,/band/artists/register,,missing
frontend\app\band\register\page.jsx,73,bandApi.post,bandApi,/band/venues/register,,missing
frontend\app\checkout\page.jsx,105,fetch,API_BASE_URL,/bookings/confirm,backend\app\api\venues\venues.py:VAR,matched
frontend\app\checkout\page.jsx,123,fetch,API_BASE_URL,/webhooks/payments/game-join,backend\app\api\games\games.py:VAR,matched
frontend\app\dashboard\activities\page.jsx,73,fetch,API_BASE_URL,/venues,backend\app\api\venues\venues.py:VAR;backend\app\api\venues\venues.py:VAR,matched
frontend\app\dashboard\activities\page.jsx,186,fetch,API_BASE_URL,/activities,backend\app\api\activities\activities.py:VAR;backend\app\api\activities\activities.py:VAR,matched
frontend\app\dashboard\activities\[id]\page.jsx,48,fetch,API_BASE_URL,/venues,backend\app\api\venues\venues.py:VAR;backend\app\api\venues\venues.py:VAR,matched
frontend\app\dashboard\activities\[id]\page.jsx,184,fetch,API_BASE_URL,/activities,backend\app\api\activities\activities.py:VAR;backend\app\api\activities\activities.py:VAR,matched
frontend\app\dashboard\courses\page.jsx,80,api.get,api,/courses,backend\app\api\courses\courses.py:VAR;backend\app\api\courses\courses.py:VAR,matched
frontend\app\dashboard\courses\page.jsx,81,api.get,api,/courses/summary,backend\app\api\courses\courses.py:VAR,matched
frontend\app\dashboard\courses\page.jsx,82,api.get,api,/groups,backend\app\api\groups\groups.py:VAR;backend\app\api\groups\groups.py:VAR,matched
frontend\app\dashboard\courses\page.jsx,134,api.post,api,/courses,backend\app\api\courses\courses.py:VAR;backend\app\api\courses\courses.py:VAR,matched
frontend\app\dashboard\courses\[id]\page.jsx,86,api.get,api,/members,backend\app\api\groups\groups.py:VAR,matched
frontend\app\dashboard\courses\[id]\page.jsx,116,api.get,api,/payments/razorpay/config,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\courses\[id]\page.jsx,167,api.post,api,/payments,backend\app\api\payments\payments.py:VAR;backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\courses\[id]\page.jsx,177,api.post,api,/payments/razorpay/order,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\courses\[id]\page.jsx,198,api.post,api,/payments/razorpay/verify,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\creategroup\page.jsx,70,fetch,API_BASE_URL,/groups,backend\app\api\groups\groups.py:VAR;backend\app\api\groups\groups.py:VAR,matched
frontend\app\dashboard\events\[id]\page.jsx,78,fetch,API_BASE_URL,/payments/razorpay/config,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\events\[id]\page.jsx,263,api.post,api,/payments,backend\app\api\payments\payments.py:VAR;backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\events\[id]\page.jsx,274,api.post,api,/payments/razorpay/order,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\events\[id]\page.jsx,295,api.post,api,/payments/razorpay/verify,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\fundraising\donate\[id]\page.jsx,135,fetch,API_BASE_URL,/payments/razorpay/order,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\fundraising\donate\[id]\page.jsx,171,fetch,API_BASE_URL,/payments/razorpay/verify,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\fundraising\new\page.jsx,34,fetch,API_BASE_URL,/fundraising,backend\app\api\fundraising\fundraising.py:VAR;backend\app\api\fundraising\fundraising.py:VAR,matched
frontend\app\dashboard\importgroups\page.jsx,76,fetch,API_BASE_URL,/groups/import,backend\app\api\groups\groups.py:VAR,matched
frontend\app\dashboard\payments\page.jsx,44,api.get,api,/payments/member-status,backend\app\api\payments\payments.py:VAR,matched
frontend\app\dashboard\payments\page.jsx,48,api.get,api,/members,backend\app\api\groups\groups.py:VAR,matched
frontend\app\dashboard\signup-forms\page.jsx,36,fetch,API_BASE_URL,/clubs,backend\app\api\auth\auth.py:VAR,matched
frontend\app\dashboard\signup-forms\page.jsx,148,fetch,API_BASE_URL,/signup-forms,backend\app\api\onboarding\onboarding.py:VAR;backend\app\api\onboarding\onboarding.py:VAR,matched
frontend\app\dashboard\trainers\page.jsx,16,api.get,api,/courses,backend\app\api\courses\courses.py:VAR;backend\app\api\courses\courses.py:VAR,matched
frontend\app\dashboard\venues\page.jsx,102,fetch,API_BASE_URL,/bookings/request-approval,backend\app\api\venues\venues.py:VAR,matched
frontend\app\login\page.jsx,37,fetch,API_BASE_URL,/auth/resend-verification,backend\app\api\auth\auth.py:VAR,matched
frontend\app\login\page.jsx,62,fetch,API_BASE_URL,/login,backend\app\api\auth\auth.py:VAR,matched
frontend\app\login-admin\page.jsx,21,fetch,API_BASE_URL,/mukijo-admin/login,,missing
frontend\app\login-member\page.jsx,34,fetch,API_BASE_URL,/login-member,backend\app\api\auth\auth.py:VAR,matched
frontend\app\login-user\page.jsx,37,fetch,API_BASE_URL,/auth/resend-verification,backend\app\api\auth\auth.py:VAR,matched
frontend\app\login-user\page.jsx,62,fetch,API_BASE_URL,/user/login,backend\app\api\auth\auth.py:VAR,matched
frontend\app\login-venue\page.jsx,22,fetch,API_BASE_URL,/venue-owner/login,backend\app\api\venue_owner\venue_owner.py:VAR,matched
frontend\app\register-member\page.jsx,60,fetch,API_BASE_URL,/clubs,backend\app\api\auth\auth.py:VAR,matched
frontend\app\register-venue\page.jsx,367,fetch,API_BASE_URL,/venue-owner/register,backend\app\api\venue_owner\venue_owner.py:VAR,matched
frontend\app\user-dashboard\page.jsx,240,fetch,API_BASE_URL,/games,backend\app\api\games\games.py:VAR;backend\app\api\games\games.py:VAR,matched
frontend\app\user-dashboard\page.jsx,401,fetch,API_BASE_URL,/games,backend\app\api\games\games.py:VAR;backend\app\api\games\games.py:VAR,matched
frontend\app\venues\[id]\page.jsx,61,fetch,API_BASE_URL,/venues,backend\app\api\venues\venues.py:VAR;backend\app\api\venues\venues.py:VAR,matched
frontend\app\venues\[id]\page.jsx,136,fetch,API_BASE_URL,/bookings/hold,backend\app\api\venues\venues.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,101,api.get,api,/payments,backend\app\api\payments\payments.py:VAR;backend\app\api\payments\payments.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,102,api.get,api,/payments/summary,backend\app\api\payments\payments.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,103,api.get,api,/groups,backend\app\api\groups\groups.py:VAR;backend\app\api\groups\groups.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,104,api.get,api,/members,backend\app\api\groups\groups.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,105,api.get,api,/payments/razorpay/config,backend\app\api\payments\payments.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,195,api.post,api,/payments,backend\app\api\payments\payments.py:VAR;backend\app\api\payments\payments.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,222,api.post,api,/payments/razorpay/order,backend\app\api\payments\payments.py:VAR,matched
frontend\components\dashboard\PaymentSection.jsx,247,api.post,api,/payments/razorpay/verify,backend\app\api\payments\payments.py:VAR,matched
